Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
Payton Henry,C,25.2916666,,-1,Med,50,1,,22164
Corey Rosier,CF,23.0888888,-1,1,Short,30,,,sa3016961
Karl Kauffmann,SP,25.15,,,Short,,,-1,sa3014526
Angeudis Santos,SS,21.0555555,2,1,Long,60,-1,,sa3009794
Juan Chacon,CF,19.8472222,2,1,Med,55,-1,,sa3014676
McCade Brown,SIRP,22.4,,,Med,,-1,,sa3017812
Griffin Conine,RF,25.2444444,1,1,Med,60,1,,sa876060
Matthew Lugo,SS,21.4166666,1,1,Long,55,-1,,sa1169598
Sean Reynolds,SIRP,24.4722222,,,,,,,sa917966
Thomas Harrington,SP,21.2416666,,1,Med,,1,-1,
